SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NAM-INDIA","1,207.00","1,207.70","1,188.00","1,202.00","1,198.40","-","-3.6","-0.3","68618","8.21","1,233.50","780.25","-1.33","47.84"
"ADANIPORTS","1,708.20","1,708.20","1,691.10","1,706.70","1,701.20","-","-5.5","-0.32","46247","7.87","1,891.10","1,290.50","-8.94","22.88"
"UPL","581.00","581.90","577.20","581.90","580.00","-","-1.9","-0.33","182687","10.59","812.20","563.15","-4.2","-18.24"
"BLUESTARCO","1,688.10","1,703.70","1,678.90","1,685.00","1,679.30","-","-5.7","-0.34","19297","3.26","2,040.00","1,450.00","6.43","-3.13"
"CIPLA","1,460.00","1,460.00","1,451.20","1,460.00","1,454.80","-","-5.2","-0.36","20467","2.98","1,673.00","1,165.70","0.12","-3.64"
"BSE","3,664.10","3,664.10","3,590.00","3,618.00","3,604.60","-","-13.4","-0.37","617438","223.57","4,446.80","2,021.50","-5.2","45.5"
"CUMMINSIND","5,568.50","5,568.50","5,468.50","5,550.00","5,529.00","-","-21","-0.38","20198","11.14","6,100.00","3,494.20","1.31","55.6"
"OFSS","11,650.00","11,664.00","11,528.00","11,600.00","11,556.00","-","-44","-0.38","12002","13.92","11,979.00","6,234.50","3.13","35.36"
"DABUR","412.00","412.00","407.55","409.65","407.95","-","-1.7","-0.41","222897","9.12","577.00","403.35","-7.81","-22.66"
"HYUNDAI","2,213.00","2,215.90","2,195.90","2,220.00","2,210.80","-","11.8","0.54","31762","7.01","2,890.00","1,658.00","11.37","1.41"
"HDFCBANK","733.80","740.60","733.65","742.00","738.80","-","-3.2","-0.43","7509425","553.38","1,020.50","726.65","-7.37","-62.75"
"HCLTECH","1,370.00","1,375.00","1,360.10","1,369.90","1,363.60","-","-6.3","-0.46","114125","15.60","1,780.10","1,030.00","20.27","-7.09"
"BHEL","411.95","411.95","407.00","411.95","410.00","-","-1.95","-0.47","205193","8.41","446.50","205.12","7.39","70.63"
"TATACONSUM","1,086.30","1,090.40","1,082.90","1,092.00","1,086.90","-","-5.1","-0.47","55947","6.08","1,282.70","1,007.20","-2.21","1.81"
"AUROPHARMA","1,587.30","1,588.70","1,573.40","1,585.90","1,578.00","-","-7.9","-0.5","25816","4.08","1,636.80","1,016.10","-2.14","45.44"
"HINDUNILVR","2,085.30","2,090.70","2,075.50","2,096.50","2,086.00","-","-10.5","-0.5","47608","9.92","2,750.00","2,016.00","-4.76","-17.58"
"FORTIS","935.70","935.70","927.60","932.80","928.00","-","-4.8","-0.51","29579","2.75","1,104.30","766.80","-4.29","8.23"
"DMART","4,018.00","4,018.00","3,990.00","4,023.00","4,002.00","-","-21","-0.52","13280","5.31","4,949.50","3,529.00","0.72","-4.15"
"GLENMARK","2,223.00","2,223.00","2,208.40","2,225.00","2,213.20","-","-11.8","-0.53","17307","3.84","2,474.00","1,792.60","0.63","7.23"
"ONGC","245.00","245.00","240.19","242.00","240.69","-","-1.31","-0.54","3820534","92.47","307.50","227.65","1.75","3.05"
"TORNTPHARM","5,068.50","5,068.50","4,992.50","5,030.00","5,002.50","-","-27.5","-0.55","19583","9.84","5,250.00","3,480.60","5.49","39.23"
"VMM","111.50","111.89","110.50","111.30","110.65","-","-0.65","-0.58","493547","5.47","157.60","98.77","-7.69","-21.44"
"DRREDDY","1,171.80","1,171.80","1,157.70","1,172.60","1,165.20","-","-7.4","-0.63","51341","5.98","1,414.90","1,101.00","-14.66","-4.28"
"TITAN","4,910.20","4,910.20","4,882.30","4,935.00","4,902.10","-","-32.9","-0.67","31148","15.26","5,000.00","3,303.10","10.62","47.04"
"MAXHEALTH","1,080.00","1,087.00","1,069.20","1,077.00","1,069.80","-","-7.2","-0.67","93425","10.07","1,301.70","903.00","-6.62","-13.87"
"MFSL","1,522.20","1,522.20","1,502.90","1,519.30","1,508.50","-","-10.8","-0.71","21706","3.27","1,892.50","1,433.60","-4.84","2.54"
"AUBANK","1,057.60","1,057.60","1,045.10","1,059.00","1,051.20","-","-7.8","-0.74","68313","7.18","1,090.40","682.15","0.06","40.78"
"ASTRAL","1,448.00","1,451.00","1,436.50","1,448.00","1,437.20","-","-10.8","-0.75","18815","2.71","1,768.70","1,263.70","4.55","1.37"
"HAVELLS","1,295.80","1,296.90","1,282.80","1,295.00","1,285.10","-","-9.9","-0.76","36827","4.74","1,621.10","1,123.60","9.64","-14.16"
"SUNPHARMA","1,967.80","1,968.20","1,946.20","1,964.00","1,948.70","-","-15.3","-0.78","50211","9.83","2,046.90","1,548.00","3.11","19.64"
"ITC","288.25","288.50","286.75","289.00","286.75","-","-2.25","-0.78","504780","14.51","427.00","275.00","-0.33","-30.67"
"FEDERALBNK","361.95","361.95","358.40","362.45","359.45","-","-3","-0.83","155005","5.58","371.70","185.11","10.71","84.49"
"TCS","2,460.00","2,460.90","2,436.90","2,460.00","2,439.00","-","-21","-0.85","168582","41.22","3,350.00","1,976.80","17.51","-19.98"
"COALINDIA","417.60","417.60","413.10","417.60","413.95","-","-3.65","-0.87","209283","8.68","491.25","368.65","-4.81","11.45"
"ICICIPRULI","515.00","515.00","505.35","513.55","508.85","-","-4.7","-0.92","36173","1.84","706.80","459.50","5.83","-16.02"
"BRITANNIA","5,461.00","5,461.00","5,406.00","5,478.00","5,427.00","-","-51","-0.93","10257","5.56","6,336.00","5,035.00","1.84","-5.34"
"KEI","5,484.10","5,504.90","5,441.80","5,500.00","5,446.40","-","-53.6","-0.97","69528","38.03","5,708.00","3,712.20","4.35","41.63"
"ANGELONE","302.00","303.00","296.60","300.35","297.35","-","-3","-1","555681","16.61","360.45","208.63","-14.73","-88.57"
"KALYANKJIL","579.70","593.95","575.00","591.40","585.35","-","-6.05","-1.02","3475284","203.11","648.95","327.05","54.8","-0.85"
"NYKAA","348.00","348.00","336.00","342.50","338.40","-","-4.1","-1.2","6925512","237.32","348.00","200.14","10.38","60.87"
"SBILIFE","1,910.00","1,910.00","1,868.10","1,899.00","1,875.20","-","-23.8","-1.25","38885","7.31","2,132.00","1,700.40","6.17","3.69"
"LUPIN","2,410.00","2,410.00","2,375.50","2,410.00","2,378.20","-","-31.8","-1.32","184122","43.95","2,529.50","1,836.80","-2.67","28.04"
"PETRONET","285.00","285.00","281.15","285.00","281.25","-","-3.75","-1.32","107062","3.03","326.40","235.35","3.28","1.03"
"VOLTAS","1,329.00","1,329.90","1,308.70","1,327.70","1,310.00","-","-17.7","-1.33","40083","5.28","1,582.50","1,186.80","3.71","-1.05"
"NESTLEIND","1,510.00","1,510.00","1,488.60","1,520.00","1,496.00","-","-24","-1.58","305810","45.79","1,535.90","1,084.70","4.12","-33.26"
"ZYDUSLIFE","1,130.00","1,130.00","1,109.20","1,130.00","1,110.60","-","-19.4","-1.72","46570","5.20","1,181.50","835.50","-0.93","17.85"
"APOLLOHOSP","9,009.00","9,009.00","8,832.50","9,050.00","8,860.50","-","-189.5","-2.09","45280","40.33","9,050.00","6,696.50","1.76","23.84"
"DELHIVERY","475.15","476.75","470.80","482.00","471.20","-","-10.8","-2.24","169658","8.02","524.00","374.45","-5.02","4.42"
"MARICO","878.60","879.00","848.25","875.00","852.40","-","-22.6","-2.58","706629","60.79","889.10","690.30","4.35","20.97"
"OIL","446.00","447.50","436.45","450.00","436.65","-","-13.35","-2.97","220518","9.72","531.00","384.60","6.61","4.93"
"MCX","2,678.00","2,678.00","2,584.00","2,680.00","2,600.00","-","-80","-2.99","564005","147.36","3,480.00","1,460.80","-4.76","-66.41"
